#separator:tab
#html:false
själfull	med rikt känsloliv
dandy	snobb
vara renons	vara utan något
cysta	vätskefylld blåsa
vara främmande för	inte befatta sig med
fåraktig	korkad
blåsyra	cyanväte
eventuell	möjlig
dagsedel	örfil
vederlägga	motbevisa
kumulation	anhopning
förnuftsvidrig	förnuftsstridig
våras	gå mot bättre tider
bryn	kant
insufficiens	otillräcklighet
nativ	naturlig
biltog	fredlös
budgetering	kostnadsplanering
alveol	lungblåsa eller hålighet
korpulent	fetlagd
hälta	haltande
socionom	socialarbetare
rata	välja bort
förseelse	lindrigare brott
oratorisk	vältalig
prejudikat	dom som blir norm
mossbelupen	gammaldags
kuva	undertrycka
lända	åstadkomma
vetta	vara vänd mot
kompatibel	ihoppassningsbar
filia	dotter
balalajka	gitarrintstrument
nödsakad	tvungen
sinologi	vetenskapen om Kina
festong	blomsterslinga
referera	återge
till förfång	Till skada eller nackdel.  Beslutet togs till förfång för de anställda som förlorade sina förmåner.  Till skada, till nackdel, på bekostnad av, till men, till pris av, till förlust, till förtrång
maskör	sminkare
fång	en famnfull
tambur	hall
apostel	gudsman
preludium	förspel
meningsutbyte	dispyt
homeopati	naturläkemetod m.spädning
efterräkning	obehaglig följd
måttlös	överdrivet stor
slåtter	höskörd
tomahawk	indianyxa
armera	förstärka material
gässling	gåsunge
kätting	grov kedja
bigami	tvegifte
ponera	anta
avvakta	vänta och se
tillstöta	hända
schakt	djupt hål
installation	invigning av professor; större konstverk
godmodig	snäll och fridsam
behagsjuk	göra sig överdrivet tilldragande
doning	sak
nepotism	att favorisera släktingar
generös	frikostig
avbasning	upptuktelse
triumfera	segra
salongslejon	snobb
pandemi	världsspridd smitta
fackman	specialist
med bravur	skickligt
manbar	könsmogen
bondånger	Samvetskval eller ånger över en begången handling.     Samvetskval, ånger, skuldkänsla, grämelse (besvikelse), samvetsnöd (skuldkänsla), ruelse (ånger), kontrition (ånger), botfärdighet (ånger), penitens (ånger), bot (åtgärd (botemedel) - viljan av förbättring efter ånger)    Han kände bondånger efter att ha ljugit för sin vän.   eller    Lukt av gödsel eller lantlig odör. Gödseldoft, lantlukt, dynglukt, stallukt, gödningsdoft, gödselstank, dyngånga En stark bondånger spred sig över fälten efter spridningen av gödsel.
förborgad	Dold, hemlig eller otillgänglig för förståelse.   Hennes verkliga avsikter förblev förborgade för omgivningen.   Dold, hemlig, undangömd, obegriplig, esoterisk, fördold, förtigen (undanhålla)
kuriosa	märkvärdiga saker
despot	allsmäktig person
reserverad	förbehållsam, försiktig
klausul	Bestämmelse eller villkor i ett avtal, lag eller annan formell text.    Clause    Villkor, bestämmelse, paragraf, avtalspunkt, kontraktsvillkor, föreskrift (bestämmelse), stipulation (villkor)    Kontraktet innehöll en klausul om förlängning med ytterligare ett år.
spritta	rycka till
titan	jätte
sensation	uppseende
föresats	bestämd avsikt
metates	omkastning av ljud
bokslut	ekonomisk årsredovisning
sekant	linje som skär kurva
fiffel	smussel
brandtal	starkt framförande
hydrokultur	vattenkultur
pli	hyfs och ordning
lektor	en sorts lärare
libertin	vällusting
blodfattig	färglös
kontaminera	smitta och förorena
moratorium	tillfälligt stopp
gemen	elak
skolexempel	typexempel
ombonad	bekväm och hemtrevlig
blazer	udda kavaj
auktor	upphovsman
kanvas	grovt tyg
undra	tvivla på
lagbunden	reglerad och bestämd
insubordination	olydnad i krig
påpasslig	uppmärksamt reagerande
ackreditera	förse med fullmakt
hunsa	köra med
tillhålla	uppmana
spatial	rumslig
raspig	skrovlig
bespetsa sig på	Förbereda sig på något, ofta i betydelsen vara inställd på eller vänta sig något.    Förbereda sig, vänta sig, räkna med, hoppas på, förvänta sig, anticipera, förutse  Hon hade bespetsat sig på en befordran efter alla år av hårt arbete.
sakteliga	långsamt
blodvite	blödande sår
lapsus	slarvfel
tillstymmelse	antydan
inkråm	inälvor
polygami	månggifte
pompös	ståtlig eller skrytsam
handfast	kraftig; tydlig
tilde	vågformat tecken
humaniora	humanistiska läroämnen
etagär	prydnadshylla
påtaglig	tydligt märkbar
avfallen	avmagrad
livegen	slav
excellera	utmärka sig
kandelaber	flerarmad ljusstake
befrynda	bli släkt med
stagnera	sluta utvecklas
inflika	infoga en kommentar
memento	påminnelse; varning
instinktiv	känslomässig
emblem	symbol eller märke
drätsel	finansförvaltning
lider	skjul
nogräknad	kinkig, kräsen
kandera	överdra med socker
bitanke	baktanke
högvördig	artig
säteri	stor gård
ofelbart	utan undantag
erosion	jordnötning
